N,Title,Author,Composer,Tune
32,Great Is Thy Faithfulness,"Chisholm, Thomas O.","Runyan, William M.",Faithfulness
33,Let Us with a Gladsome Mind,"Milton, John",The Parish Choir,Innocents
34,The God of Abraham Praise,"Olivers, Thomas",Jewish melody,Leoni
35,"My God, How Wonderful Thou Art","Faber, Frederick W.","Turton, Thomas",St. Etheldreda
36,"Lord, Thou Hast Searched Me",The Psalter,"Praetorius, Michael",Puer Nobis Nascitur
37,All That I Am I Owe to Thee,The Psalter,"Oliver, Henry K.",Federal Street
38,"Immortal, Invisible, God Only Wise","Smith, Walter Chalmers",Traditional Welsh hymn melody,Joanna
39,"O God, Most Holy Are Your Ways",The Psalter,Geistliche Lieder,Vater Unser
40,God Is Our Refuge and Our Strength,The Psalter,"Fink, Gottfried W.",Bethlehem
41,"The Praises of Thy Wonders, Lord",The Book of Psalms,"Clarke, Jeremiah",Bishopthorpe
42,El-Shaddai,"Card, Michael","Thompson, John",El-Shaddai
43,"You Righteous, in the Lord Rejoice",The Book of Hymns,Strassburger Kirchenamt,Old 113th
44,How Great Thou Art,"Hine, Stuart K.",Swedish folk melody,O Store Gud
45,"Now unto Jehovah, Ye Sons of the Mighty",The Psalter,"Matthews, Ronald Alan",Willow Grove
46,Round the Lord in Glory Seated,"Mant, Richard","Richards, John",Sanctus
47,God the Lord Is King,"Rawson, George","Wood, Dale",Eden Church
48,"O Lord Most High, with All My Heart",The Psalter,"Miller, Edward (Arr.)",Rockingham Old
49,"O Lord, Thou Judge of All the Earth",The Psalter,"Graham, George",The King’s Majesty
50,"O Lord, Be Thou My Helper True",The Psalter,"Linekar, Thomas Joseph",Colwyn Bay
51,"O Jehovah, Hear My Words",The Psalter,"Parry, Joseph",Aberystwyth
52,O Praise the Lord! O Thank the Lord!,The Book of Psalms for Singing,"Mason, Henry L.",Exeter
53,"Praise to the Lord, the Almighty","Neander, Joachim",Stralsund Gesangbuch,Lobe Den Herren
54,"Hallelujah! Raise, O Raise","Conder, Josiah","Wesley, Samuel S.",Alcester
55,To God Be the Glory,"Crosby, Fanny J.","Doane, William H.",To God Be The Glory
56,"When All Your Mercies, O My God","Addison, Joseph",Henry W. Greatorex,Manoah
57,"Hallelujah, Praise Jehovah, O My Soul",The Psalter,"Mason, Lowell",Ripley
58,O Splendor of God’s Glory Bright,Ambrose of Milan,Musikalisches Handbuch,Winchester New
59,Forever Settled in the Heavens,The Psalter,"Hatton, John",Duke Street
60,"Thy Mercy and Thy Truth, O Lord",The Psalter,English melody,Walsall
61,"O God, No Longer Hold Thy Peace",The Psalter,"Croft, William",St. Matthew
62,"Sing to the Lord, Sing His Praise",The Psalter,"Mason, Lowell",Wesley
63,Jehovah Reigns; Let Earth Be Glad,The Psalter,"Lloyd, John Ambrose",Brynteg
64,"God, the Lord, a King Remaineth","Keble, John","Smart, Henry",Regent Square
65,Before Jehovah’s Awesome Throne,"Watts, Isaac","Venua, Frederick M.A.",Park Street
66,God Is Known among His People,The Psalter,"Goss, John",Lauda Anima
67,"Not unto Us, O Lord of Heaven",The Psalter,"Kroeger, Ernest R.",Gairney Bridge
68,"The Earth, with All That Dwell Therein",The Psalter,Scottish Psalter,London New
69,Thy God Reigneth!,"Shepherd, Fred S.","McGranahan, James",Thy God Reigneth
70,"With Glory Clad, with Strength Arrayed",Tate and Brady’s New Version,"Dyer, Samuel",Mendon
71,"Stand Up, O God, Be Present Now","Saward, Michael","Wilson, David G.",Stand Up
72,Amid the Fears That Oppress Our Day,"Clarkson, Margaret","Matthews, Ronald Alan",Langhorne
73,"Rejoice, All People, Homage Give",The Psalter,Psalmodia Evangelica,Truro
74,God is Working His Purpose Out,"Ainger, Arthur Campbell","Shaw, Martin",Purpose
75,"O Father, You are Sovereign","Clarkson, Margaret","Teschner, Melchior",St. Theodulph
76,"Praise, My Soul, the King of Heaven","Lyte, Henry F.","Goss, John",Lauda Anima
77,"Praise, My Soul, the King of Heaven","Lyte, Henry F.","Andrews, Mark",Andrews
78,"O Bless the Lord, My Soul","Watts, Isaac",Genevan Psalter,St. Michael
79,"My God, My God, O Why Have You Forsaken Me?",The Book of Psalms for Singing,"Williams, Ralph Vaughan",Kingsfold
80,"Lord, with Glowing Heart I’d Praise Thee","Key, Francis Scott","Mason, Lowell",Ripley
81,"O Love of God, How Strong and True","Bonar, Horatius","Parry, C. Hubert H.",Jerusalem (Parry)
82,Great God of Wonders!,"Davies, Samuel","Newton, John",Sovereignty (or Wonders)
83,"O Praise the Lord, for He is Good",Book of Psalms,"Haweis, Thomas 1794",Richmond
84,"Under the Care of My God, the Almighty",Bible Songs Hymnal,"Sankey, Ira D.",Under His Wings
85,"The Lord’s My Shepherd, I’ll Not Want","Rous, Francis & Mure, William","Havergal, William H.",Evan
86,"The Lord’s My Shepherd, I’ll Not Want","Rous, Francis & Mure, William","Bain, J.L. Macbeth",Brother James’ Air
87,"The Lord’s My Shepherd, I’ll Not Want","Rous, Francis & Mure, William","Irvine, Jessie Seymour",Crimond
88,With Grateful Heart My Thanks I Bring,The Psalter,"Bortniansky, Dmitri",St. Petersburg
89,God Is Our Strength and Refuge,"Bewes, Richard","Coates, Eric",Dam Busters March
90,The Man Who Once Has Found Abode,RP Book of Psalms,"Mason, Lowell",Uxbridge
91,"Bow Down Thine Ear, O Lord, and Hear",The Psalter,"Jones, Griffith Hugh",Llef
92,A Mighty Fortress Is Our God,"Luther, Martin","Luther, Martin",Ein’ Feste Burg
93,The Tender Love a Father Has,The Psalter,Scottish Psalter,Caithness
94,How Firm a Foundation,Rippon’s Selection of Hymns,Traditional American melody,Foundation
95,Though Troubles Assail Us,"Newton, John",Traditional Welsh melody,Joanna
96,Unto the Hills,"John, duke of Argyll","Peace, Albert L.",Lux Beata
97,"We Praise You, O God, Our Redeemer, Creator","Cory, Julia Cady","Kremser, Edward",Kremser
98,Now Thank We All Our God,"Rinkart, Martin","Cruger, Johann",Nun Danket
99,My Song Forever Shall Record,The Psalter,Musikalisches Handbuch,Winchester New
100,"Holy, Holy, Holy!","Heber, Reginald","Dykes, John B.",Nicaea
101,"Come, Thou Almighty King",Anon.,"de Giardini, Felice",Trinity
102,"All Glory Be to Thee, Most High",Gloria in Excelsis,Geistliche Lieder,Allein Gott In Der Hoh
103,"Holy God, We Praise Your Name","Franz, Ignace",Katholisches Gesangbuch,"Grosser Gott, Wir Loben Dich"
104,We Lift Up as Our Shield God’s Name,"Clowney, Edmund P.","Hustad, Donald",St. Patrick’s Breastplate
105,"O God, We Praise Thee",Te Deum,Scottish Psalter,Dundee
106,"Father, Father of All Things","Riley, Lyn","Riley, Neil",Father Of All Things
107,Praise Ye the Father!,"Charles, Elizabeth R.","Flemming, Friedrich F.",Flemming
108,Whate’er My God Ordains Is Right,"Rodigast, Samuel","Gastorius, Severus",Was Gott Tut
109,"Lord, My Weak Thought in Vain Would Climb","Palmer, Ray","Schumann, Robert",Canonbury
110,"Hallelujah, Praise Jehovah",Bible Songs Hymnal,"Kirkpatrick, William J.",Praise Jehovah
111,This Is My Father’s World,"Babcock, Maltbie D.","Sheppard, Franklin L.",Terra Beata
112,"Praise Ye, Praise Ye the Lord",The Psalter,"Blanton, Leonard Cooper",Columbia
113,The Heavens Declare Thy Glory,"Birks, Thomas R.","Bach, Johann Sebastian",Faithful
114,"Lord, Our Lord, Thy Glorious Name",The Psalter,"Gilbert, Walter Bond",Thanksgiving (Gilbert)
115,All Creatures of Our God and King,Francis of Assisi,Geistliche Kirchengesange,Lasst Uns Erfreuen
116,For the Beauty of the Earth,"Pierpoint, Folliott S.","Kocher, Conrad",Dix
117,The Spacious Firmament on High,"Addison, Joseph","Haydn, Franz Joseph",Creation
118,"Come, Sound His Praise Abroad","Watts, Isaac","Matthews, Ronald Alan",Krewson
119,I Sing the Almighty Power of God,"Watts, Isaac","Williams, Ralph Vaughan",Forest Green
120,All Things Bright and Beautiful,"Alexander, Cecil F.",English melody,Royal Oak
121,"Praise Him, Praise Him, Praise Him","Perry, Michael","Coates, Kenneth W.",St. Helens
122,"God, All Nature Sings Thy Glory","Clowney, David","Beethoven, Ludwig van",Ode To Joy
123,God of Everlasting Glory,"Peterson, John W.","Peterson, John W.",Breton Road
124,Praise the Lord Our God,"Bewes, Richard T.","Wilson, David G.",Kum Ba Ya
125,Let All Things Now Living,"Davis, Katherine K.",Traditional Welsh melody,Ash Grove
126,"My Soul, Bless the Lord!",The Psalter,"Gauntlett, Henry J.",Houghton
127,With Songs and Honors Sounding Loud,"Watts, Isaac","Clarke, Jeremiah",St. Magnus
128,God Moves in a Mysterious Way,"Cowper, William",Scottish Psalter,Dundee
129,I Belong to Jesus,"Fraser, M.","Sea, M.A.",Dedication
130,Showers of Blessing,"Whittle, Daniel W.","McGranahan, James",Showers Of Blessing
131,Children of the Heavenly Father,"Berg, Carolina V. Sandell","Hedlin, Marc",Tryggare Kan Ingen Vara
132,O Rejoice in the Lord,"Hamilton, Ron","Matthews, Ronald Alan",Wilmington
133,"God, Who Made the Earth","Rhodes, Sarah Betts","von Muller, Hermann",Sommerlied
134,God Will Take Care of You,"Martin, Civilla D.","Martin, W. Stillman",God Cares
135,God Sees the Little Sparrow Fall,"Straub, Maria","Straub, S.W.",Providence
136,Thy Word Have I Hid in My Heart,"Sellers, E.O.","Sellers, E.O.",Thy Word
137,"Holy Bible, Book Divine","Burton, John","Bradbury, William B.",Aletta
138,"The Heavens Declare Your Glory, Lord","Watts, Isaac","Mason, Lowell",Uxbridge
139,"Your Word Is like a Garden, Lord","Hodder, Edwin","Fink, Gottfried W.",Seraph
140,O Word of God Incarnate,"How, William Walsham",Meiningen Gesangbuch,Munich
141,"God, in the Gospel of His Son","Beddome, Benjamin",Gardiner’s Sacred Melodies,Germany
142,"Lord, Thy Word Abideth","Baker, Henry W.","Grieg, Edvard",Grieg
143,How Precious Is the Book Divine,"Fawcett, John","Gardiner, William",Belmont
144,"Father of Mercies, in Your Word","Steele, Anne","Dykes, John B.",Beatitudo
145,The Spirit Breathes upon the Word,"Cowper, William","Hastings, Thomas",Ortonville
146,Break Thou the Bread of Life,"Lathbury, Mary A.","Sherwin, William F.",Bread of Life
147,"O God of Light, Your Word, a Lamp Unfailing","Taylor, Sarah E.","Evans, David",Charterhouse
148,How Shall the Young Direct Their Way?,The Psalter,"Coles, George",Duane Street
149,"Teach Me, O Lord, Your Way of Truth",The Psalter,"Holbrook, Joseph P.",Bishop
150,The Law of God is Good and Wise,"Loy, Matthias",Geistliche Lieder,"Erhalt Uns, Herr"
151,Jehovah’s Perfect Law,The Psalter,"Matthews, Ronald Alan",Hutchby
152,The Law of the Lord is Perfect,Anon.,Anon.,The Law Of The Lord
153,Most Perfect Is the Law of God,The Psalter,"McGranahan, James",Kinsman
154,Thou Art the Way,"Doane, George W.","Arne, Thomas A.",Arlington
155,"O Love, How Deep, How Broad, How High!",Latin hymn,Anon.,Deo Gracias
156,"O Lord, How Shall I Meet You","Gerhardt, Paul","Teschner, Melchior",St. Theodulph
157,"None Other Lamb, None Other Name","Rossetti, Christina G.","Jeater, William",Rossetti
158,"None Other Lamb, None Other Name","Rossetti, Christina G.","Palmer, Peggy S.",Ellasgarth
159,"O Savior, Precious Savior","Havergal, Frances R.","Lloyd, William",Meirionydd
160,Shepherd of Tender Youth,Clement of Alexandria,"Matthews, Ronald Alan",Keck
161,"O Christ, Our Hope, Our Heart’s Desire","Chandler, John","Handel, George Frederick",Bradford
162,Of the Father’s Love Begotten,"Prudentius, Aurelius Clemens",Plainsong,Divinum Mysterium
163,At the Name of Jesus,"Noel, Caroline M.","Williams, Ralph Vaughan",King’s Weston
164,O for a Thousand Tongues to Sing,"Wesley, Charles","Glaser, Carl G.",Azmon
165,"Ye Servants of God, Your Master Proclaim","Wesley, Charles","Haydn, Johan Michael",Lyons
166,"Wondrous King, All-Glorious","Neander, Joachim","Neander, Joachim",Wunderbarer Konig
167,When Morning Gilds the Skies,German,"Barnby, Joseph",Laudes Domini
168,"I Greet Thee, Who My Sure Redeemer Art",Strasbourg Psalter,Genevan Psalter,Toulon
169,My Heart Does Overflow,The Psalter,"Martin, George William",Leominster
170,Fairest Lord Jesus,Munster Gesangbuch,Silesian folk song,Crusader’s Hymn
171,Fairest Lord Jesus,Munster Gesangbuch,Munster Gesangbuch,Schonster Herr Jesu
172,Let Us Love and Sing and Wonder,"Newton, John",Darmstadt Gesangbuch,All Saints Old
173,Praise Him! Praise Him!,"Crosby, Fanny J.","Allen, Chester G.",Joyful Song
174,"O Christ, Our King, Creator, Lord",Gregory the Great,"Gladstone, William Henry",Ombersley
175,A Wonderful Savior Is Jesus My Lord,"Crosby, Fanny J.","Kirkpatrick, William J.",Kirkpatrick
176,"Hail, Thou Once Despised Jesus","Bakewell, John",Traditional Netherlands melody,In Babilone
177,O Could I Speak the Matchless Worth,"Medley, Samuel","Mozart, Wolfgang Amadeus",Ariel
178,There is No Name So Sweet on Earth,Anon.,"Bradbury, William B.",The Sweetest Name
179,Hallelujah! Thine the Glory,"Mackay, William P.","Husband, John J.",Thine The Glory
180,I Will Sing the Wondrous Story,"Rowley, Francis H.","Bilhorn, Peter P.",Wondrous Story
181,"We Come, O Christ, to You","Clarkson, E. Magaret","Darwall, John",Darwall
182,My Song Is Love Unknown,"Crossman, Samuel","Calkin, John Baptiste",St. John (Calkin)
183,"Awake, My Soul, in Joyful Lays ","Medley, Samuel",The Christian Lyre,Loving-Kindness
184,The King of Love My Shepherd Is,"Baker, Henry W.","Dykes, John B.",Dominus Regit Me
185,Majestic Sweetness Sits Enthroned,"Stennett, Samuel","Robb, John K.",Hetherton
186,"One There Is, above All Others","Newton, John","Albert, Heinrich",Godesberg
187,There Were Ninety and Nine,"Clephane, Elizabeth C.","Sankey, Ira D.",The Ninety And Nine
188,"Jesus, I Am Resting, Resting","Pigott, Jean Sophia","Mountain, James",Tranquillity
189,"Jesus Loves Me, This I Know","Warner, Anna B.","Bradbury, William B.",Jesus Loves Me
190,I Think When I Read That Sweet Story of Old,"Luke, Jemima T.",Greek melody,Sweet Story
191,I Am So Glad That Our Father in Heaven,"Bliss, Philip P.","Bliss, Philip P.",Gladness
192,I Am Jesus’ Little Lamb,"von Hayn, Henrietta L.",Bruder Choral-Buch,Weil Ich Jesu Schaflein Bin
193,Let All Mortal Flesh Keep Silence,Liturgy of St. James,French melody,Picardy
194,"O Come, O Come, Emmanuel",Latin antiphons,Plainsong,Veni Emmanuel
195,Joy to the World! The Lord Is Come,"Watts, Isaac","Handel, George Frederick",Antioch
196,"Come, Thou Long-Expected Jesus","Wesley, Charles","Pritchard, Rowland Hugh",Hyfrydol
197,"Comfort, Comfort Ye My People","Olearius, Johannes","Bourgeouis, Louis",Thirsting
198,"Lift Up Your Heads, Ye Mighty Gates!","Weissel, Georg",Psalmodia Evangelica,Truro
199,"See, amid the Winter’s Snow","Caswall, Edward","Gross, John",See Amid The Winter’s Snow
200,It Came upon the Midnight Clear,"Sears, Edmund H.","Willis, Richard S.",Carol
201,O Little Town of Bethlehem,"Brooks, Phillips","Redner, Lewis H.",St. Louis
202,O Little Town of Bethlehem,"Brooks, Phillips","Davies, Walford",Christmas Carol
203,Hark! The Herald Angels Sing,"Wesley, Charles","Mendelssohn-Bartholdy, Felix",Mendelssohn
204,Away in a Manger,Anon.,"Murray, James R.",Mueller
205,Away in a Manger,Anon.,"Kirkpatrick, William J.",Cradle Song
206,Brightest and Best of the Sons of the Morning,"Heber, Reginald","Harding, James P.",Morning Star
207,"Good Christian Men, Rejoice",Medieval Latin carol,German melody,In Dulci Jubilo
208,"O Come, All Ye Faithful","Wade, John Francis",Wade’s Cantus Diversi,Adeste Fideles
209,"Christians, Awake, Salute the Happy Morn","Byrom, John","Wainwright, John",Yorkshire
210,Silent Night! Holy Night!,"Mohr, Joseph","Gruber, Franz",Stille Nacht
211,"God Rest You Merry, Gentlemen",English carol,English melody,God Rest You Merry
212,Within a Crib My Savior Lay,"Dudley-Smith, Timothy","Warren, Norman L.",Lord of Love
213,What Child Is This,Traditional English carol,English melody,Greensleeves
214,Angels We Have Heard on High,Traditional French carol,Traditional French melody,Gloria
215,While by the Sheep We Watched at Night,German carol,Traditional German melody,Jungst
216,"Infant Holy, Infant Lowly",Polish carol,Traditional Polish melody,W Zlobie Lezy
217,All My Heart This Night Rejoices,"Gerhardt, Paul","Ebeling, Johann G.",Warum Sollt’ Ich Mich Denn Gramen
218,"Angels, from the Realms of Glory","Montgomery, James","Smart, Henry",Regent Square
219,"All Praise to Thee, Eternal Lord","Luther, Martin","Schumann, Robert",Canonbury
220,From Heaven High I Come to You,"Luther, Martin","Luther, Martin",Von Himmel Hoch
221,"Lo, How a Rose E’er Blooming",German hymn,German melody,Es Ist Ein’ Ros’ Entsprungen
222,While Shepherds Watched Their Flocks,"Tate, Nahum",Este’s The Whole Booke of Psalmes,Winchester Old
223,While Shepherds Watched Their Flocks,"Tate, Nahum","Handel, George Frederick",Christmas
224,"Go, Tell It on the Mountain",Spiritual,Spiritual,Go Tell It
225,Once in Royal David’s City,"Alexander, Cecil Frances","Gauntlett, Henry J.",Irby
226,As with Gladness Men of Old,"Dix, William Chatterton","Kocher, Conrad",Dix
227,On Christmas Night All Christians Sing,Traditional English carol,Traditional English carol,Sussex Carol
228,"Saw You Never, in the Twilight","Alexander, Cecil Frances",French melody,Chartres
229,Gentle Mary Laid Her Child,"Cook, Joseph Simpson",Piae Cantiones,Tempus Adest Floridum
230,Thou Who Wast Rich beyond All Splendor,"Houghton, Frank",French carol melody,Quelle Est Cette Odeur Agreable
231,"Lovely Child, Holy Child","Johnson, David N.",Folk carol,Bethlehem
232,"O Jesus Sweet, O Jesus Mild","Scheidt, Samuel","Bach, Johann Sebastian",O Jesulein Suss
233,To Us a Child of Hope Is Born,"Morison, John",Traditional English melody,I Do Believe
234,Tell Me the Story of Jesus,Fanny J. Crosby,"Sweney, John R.",Story Of Jesus
235,"All Glory, Laud, and Honor",Theodulph of Orleans,"Teschner, Melchior",St. Theodulph
236,When His Salvation Bringing,"King, John","Tours, Berthold",Tours
237,"Ride On, Ride On in Majesty!","Milman, Henry H.","Dykes, John B.",St. Drostane
238,My Dear Redeemer and My Lord,"Watts, Isaac","Oliver, Henry K.",Federal Street
239,"Who Is This, So Weak and Helpless","How, William Walsham","Lloyd, John Ambrose",Eifonydd
240,The King of Glory Comes,"Jabusch, Willard F.",Israeli folk song,Promised One
241,Thou Dost Reign on High,"Elliott, Emily E. S. ","Matthews, T. Richard",Margaret
242,Not All the Blood of Beasts,"Watts, Isaac","Walter, William H.",Festal Song
243,Praise the Savior Now and Ever,"Fortunatus, Venantius H.C.",Koralbok,"Upp, Min Tunga"
244,He Was Wounded for Our Transgressions,"Chisholm, Thomas O.","Dunlop, Merrill",Oak Park
245,As Jacob with Travel Was Weary One Day,Traditional English carol,"Stainer, John",Jacob’s Ladder
246,Man of Sorrows! What a Name,"Bliss, Philip P.","Bliss, Philip P.",Hallelujah! What a Savior!
247,"O Sacred Head, Now Wounded",Bernard of Clairvaux,"Hassler, Hans Leo",Passion Chorale
248,"Ah, Holy Jesus, How Hast Thou Offended","Heermann, Johann","Cruger, Johann",Herzliebster Jesu
249,Tis Midnight; and on Olive’s Brow,"Tappan, William B.","Bradbury, William B.",Olive’s Brow
250,Throned upon the Awful Tree,"Ellerton, John",Traditional Welsh melody,Afron
251,Beneath the Cross of Jesus,"Clephane, Elizabeth C.","Maker, Frederick C.",St. Christopher
252,When I Survey the Wondrous Cross,"Watts, Isaac","Mason, Lowell",Hamburg
253,There Is a Fountain Filled with Blood,"Cowper, William","Mason, Lowell",Fountain
254,Alas! and Did My Savior Bleed,"Watts, Isaac","Wilson, Hugh",Martyrdom
255,"O Jesus, We Adore Thee","Russell, Arthur T.","Lloyd, William",Meirionydd
256,There Is a Green Hill Far Away,"Alexander, Cecil Frances","Glower, John H.",Meditation
257,"Stricken, Smitten, and Afflicted","Kelly, Thomas",Geistliche Volkslieder,"O Mein Jesu, Ich Muss Sterben"
258,"Sweet the Moments, Rich in Blessing","Allen, James","Stainer, John",Cross of Jesus
259,Hark! The Voice of Love and Mercy,"Evans, Jonathan","Owen, William",Bryn Calfaria
260,Were You There?,Spiritual,Spiritual,WereYou There?
261,What Wondrous Love Is This,American folk hymn,The Southern Harmony,Wondrous Love
262,O Come and Mourn with Me Awhile,"Faber, Frederick W.","Dykes, John B.",St. Cross
263,Lift High the Cross,"Kitchin, George W.","Nicholson, Sydney H.",Crucifer
264,"Jesus, Keep Me near the Cross","Crosby, Fanny J.","Doane, William H.",Near The Cross
265,"Come, Ye Faithful, Raise the Strain",John of Damascus,Piae Cantiones,Tempus Adest Floridum
266,"Come, Ye Faithful, Raise the Strain",John of Damascus,"Sullivan, Arthur S.",St. Kevin
267,The Day of Resurrection!,John of Damascus,"Smart, Henry",Lancashire
268,"Welcome, Happy Morning!",Venantius H. C. Fortunatus,Traditional French melody,Noel Nouvelet
269,"Welcome, Happy Morning!",Venantius H. C. Fortunatus,"Haydn, Franz Joseph",St. Alban
270,"Good Christian Men, Rejoice and Sing!","Alington, Cyril A.","Vulpius, Melchior",Gelobt Sei Gott
271,"Sing, Choirs of New Jerusalem",Fulbert of Chartres,"Jarman, Thomas",Lyngham
272,"O Sons and Daughters, Let Us Sing!","Tisserand, Jean","Handel, George Frederick",O Filii Et Filiae
273,Jesus Christ Is Risen Today.,Anon.,"Williams, Robert",Llanfair
274,Thine Be the Glory,"Budry, Edmond","Handel, George Frederick",Maccabaeus
275,"The Strife Is O’er, the Battle Done",Latin hymn,"da Palestrina, Giovanni P.",Palestrina
276,Up from the Grave He Arose,"Lowry, Robert","Lowry, Robert",Christ Arose
277,Christ the Lord is Risen Today,"Wesley, Charles",Lyra Davidica,Easter Hymn
278,That Easter Day with Joy Was Bright,Early medieval Latin hymn,"Praetorius, Michael",Puer Nobis Nascitur
279,Christ Jesus Lay in Death’s Strong Bands,"Luther, Martin",Medieval melody,Christ Lag In Todesbanden
280,Christ Is Risen from the Dead,"Bowdler, Margaret","Warren, Norman",Christ is Risen
281,I Know That My Redeemer Lives – Glory Hallelujah!,"Medley, Samuel",American folk hymn,Shout On
282,"Lift Up, Lift Up Your Voices Now","Neale, John Mason","Calkin, J. Baptiste",Waltham
283,Alleluia! Alleluia!,"Wordsworth, Christopher","Williams, Thomas John",Ebenezer
284,This Joyful Eastertide,"Woodward, George R.",Oudaen’s David’s Psalmen,Vruchten
285,"Jesus, Lord, Redeemer","Kirkland, Patrick Miller","Williams, Ralph Vaughan",King’s Weston
286,"Worship Christ, the Risen King!","Hayford, Jack W.","Smart, Henry T.",Regent Square
287,Morning Sun,"Ward, James C.","Ward, James C.",Music Anno Domini
288,Jesus Christ Has Triumphed Now,"Wilson, John F.","Wilson, John F.",Resurrection
289,A Hymn of Glory Let Us Sing,The Venerable Bede,Geistliche Kirchengesange,Lasst Uns Erfreuen
290,Hail the Day That Sees Him Rise,"Wesley, Charles","Williams, Robert",Llanfair
291,"See, the Conqueror Mounts in Triumph","Wordsworth, Christopher","Parry, C. Hubert H.",Rustington
292,Who Shall Ascend the Mountain of the Lord,"Clowney, Edmund P.","Stanford, Charles V.",Engelberg
293,Golden Harps Are Sounding,"Havergal, Frances R.","Havergal, Frances R.",Hermas
294,The Golden Gates Are Lifted up,"Alexander, Cecil Frances","Cottman, Arthur",Mirfield
295,Crown Him with Many Crowns,"Bridges, Matthew","Elvey, George J.",Diademata
296,All Hail the Power of Jesus’ Name!,"Perronet, Edward","Holden, Oliver",Coronation
297,All Hail the Power of Jesus’ Name!,"Perronet, Edward","Ellor, James",Diadem
298,The Head That Once Was Crowned with Thorns,"Kelly, Thomas","Clarke, Jeremiah",St. Magnus
299,"Look, Ye Saints, the Sight Is Glorious","Kelly, Thomas","Monk, William H.",Coronae
300,Blessing and Honor and Glory and Power,"Bonar, Horatius",La Feillee’s Methode du plain-chant,O Quanta Qualia
301,Join All the Glorious Names,"Watts, Isaac","Darwall, John",Darwall
302,"Come, Christians, Join to Sing","Bateman, Christian H.",Traditional Spanish melody,Madrid
303,"Blessed Jesus, at Your Word","Clausnitzer, Tobias","Ahle, Johann R.",Liebster Jesu
304,I Heard the Voice of Jesus Say,"Bonar, Horatius","Dykes, John B.",Vox Dilecti
305,"Arise, My Soul, Arise","Wesley, Charles","Edson, Louis",Lenox
306,"Jesus, My Great High Priest","Watts, Isaac","Goss, John",Bevan
307,Nothing but the Blood,"Lowry, Robert","Lowry, Robert",Plainfield
308,Jesus Paid It All,"Hall, Elvina M.","Grape, John T.",All To Christ
309,"Rejoice, the Lord Is King","Wesley, Charles","Goss, John",Arthur’s Seat
310,"Rejoice, the Lord Is King","Wesley, Charles","Darwall, John",Darwall
311,Hail to the Lord’s Anointed,"Montgomery, James","Wesley, Samuel S.",Aurelia
312,"O God, Your Judgments Give the King",Reformed Presbyterian Book of Psalms,"Mason, Lowell",Ostend
313,Unto My Lord Jehovah Said,Irish Psalter,"Sohren, Peter",Elbing
314,O Wherefore Do the Nations Rage,The Psalter,Spangenberg’s Gesangbuch,Saxony
